number,identification,species,latitude,longitude,fuste,height,dap,cap,biological,anthropic
110,34357,C,-7.13441666666667,-34.84338888888890,1.21000000000000,7.75000000000000,0.13814649060377,0.43400000000000,0,0
111,34354,C,-7.13448333333333,-34.84348055555560,0.20000000000000,5.80000000000000,0.09708451528606,0.30500000000000,0,0
112,34327,C,-7.13436111111111,-34.84351666666670,0.26000000000000,6.15000000000000,0.09899437460316,0.31100000000000,0,0
113,34325,C,-7.13434166666667,-34.84349166666670,0.15000000000000,3.35000000000000,0.10504226244065,0.33000000000000,4,4
114,34351,C,-7.13433611111111,-34.84352222222220,0.10000000000000,3.15000000000000,0.07480282325319,0.23500000000000,0,0
115,,O,-7.13432777777778,-34.84353333333330,2.23000000000000,6.25000000000000,0.08976338790383,0.28200000000000,0,0
116,34363,C,-7.13333333333333,-34.83333333333330,,,0.00000000000000,,0,0
117,34328,paineira,-7.13438333333333,-34.84352777777780,1.92000000000000,8.15000000000000,0.00000000000000,,0,1
118,,paineira,-7.13425555555556,-34.84347222222220,2.94000000000000,7.85000000000000,0.21963382146682,0.69000000000000,0,0
119,,paineira,-7.13423333333333,-34.84342222222220,2.61000000000000,6.85000000000000,0.17825353626292,0.56000000000000,0,0
120,34324,E,-7.13420833333333,-34.84330555555560,1.00000000000000,2.70000000000000,0.04456338406573,0.14000000000000,0,0
121,34326,E,-7.13426666666667,-34.84331666666670,1.40000000000000,2.10000000000000,0.02069014260195,0.06500000000000,1,0
122,34323,E,-7.13451388888889,-34.84325277777780,,1.60000000000000,0.03183098861838,0.10000000000000,0,0
123,34329,E,-7.13457777777778,-34.84321944444440,0.60000000000000,2.00000000000000,0.04615493349665,0.14500000000000,0,0
